Session,Animal_ID,TRAP_ID,SO,Sex
1,13,55,3,1
1,36,30,3,1
1,24,41,7,2
1,49,48,8,2
1,16,41,10,1
1,4,39,11,2
1,34,30,17,2
1,46,39,19,1
1,36,30,22,1
1,7,14,24,2
1,28,28,25,2
1,36,20,30,1
1,16,62,31,1
1,4,28,32,2
1,23,63,34,2
1,4,28,37,2
1,4,28,37,2
1,4,28,38,2
1,6,32,42,2
1,319,6,44,2
1,1,28,46,2
1,26,3,48,2
1,2,34,52,1
1,23,46,53,2
1,7,46,55,2
1,23,46,56,2
1,34,41,57,2
1,36,20,58,1
1,22,20,59,1
1,23,46,63,2
1,22,20,76,1
1,25,66,80,2
1,5,66,81,1
1,25,66,81,2
1,7,66,83,2
1,23,66,83,2
1,54,53,84,2
1,23,66,86,2
1,24,43,86,2
1,7,46,93,2
1,16,31,97,1
1,61,3,104,1
1,34,40,108,2
1,24,30,111,2
1,1,11,112,2
1,8,41,116,2
1,4,27,119,2
1,56,2,119,1
1,4,26,121,2
1,36,20,128,1
1,24,29,133,2
1,28,29,133,2
1,320,12,133,2
1,36,31,134,1
1,36,21,136,1
1,8,41,140,2
1,34,53,141,2
1,44,66,142,1
1,16,30,144,1
1,321,11,155,1
1,16,31,157,1
1,61,3,158,1
1,7,46,159,2
1,1,27,160,2
1,61,3,163,1
1,322,34,163,2
1,13,43,164,1
1,37,37,167,1
1,11,12,168,2
1,16,31,171,1
1,16,41,171,1
1,1,38,173,2
1,13,30,174,1
1,1,39,175,2
1,41,31,177,2
1,323,46,178,2
1,30,37,179,1
1,4,60,180,2
1,55,32,180,1
2,50,17,1,1
2,16,30,2,1
2,28,20,2,2
2,16,30,3,1
2,41,41,3,2
2,11,31,4,2
2,16,30,4,1
2,41,41,4,2
2,16,53,5,1
2,48,20,5,2
2,50,17,5,1
2,13,62,6,1
2,28,20,6,2
2,39,62,6,2
2,36,20,8,1
2,41,41,8,2
2,5,65,11,1
2,36,20,12,1
2,55,54,13,1
2,34,40,26,2
2,41,38,29,2
2,55,38,29,1
2,7,46,32,2
2,13,41,32,1
2,14,11,35,1
2,28,20,35,2
2,41,38,37,2
2,7,46,38,2
2,31,7,38,2
2,39,32,39,2
2,41,41,39,2
2,41,38,39,2
2,48,12,47,2
2,56,2,51,1
2,36,20,54,1
2,28,20,57,2
2,11,21,58,2
2,28,29,58,2
2,36,20,58,1
2,36,20,59,1
2,16,32,60,1
2,11,32,63,2
2,1,22,64,2
2,55,41,66,1
2,41,41,69,2
2,55,41,69,1
2,50,29,70,1
2,1,26,73,2
2,7,46,75,2
2,34,54,76,2
2,34,30,76,2
2,36,20,82,1
2,31,14,86,2
2,28,20,91,2
2,36,20,91,1
2,4,39,94,2
2,41,41,94,2
2,16,31,99,1
2,44,37,100,1
2,55,41,100,1
2,5,46,104,1
2,36,20,105,1
2,7,46,107,2
2,31,3,107,2
2,36,20,107,1
2,41,54,107,2
2,31,3,108,2
2,4,2,109,2
2,1,28,111,2
2,1,28,112,2
2,4,2,116,2
2,4,11,116,2
2,8,62,116,2
2,16,31,116,1
2,50,27,116,1
2,55,55,116,1
2,55,41,116,1
2,56,2,116,1
2,31,4,117,2
2,31,3,118,2
2,17,30,119,2
2,31,3,119,2
2,41,41,120,2
2,4,39,121,2
2,29,2,121,1
2,31,7,121,2
2,41,41,121,2
2,55,41,121,1
2,55,43,122,1
2,55,43,123,1
2,46,27,126,1
2,50,26,126,1
2,31,3,127,2
2,41,54,127,2
2,61,4,127,1
2,16,31,129,1
2,47,30,132,1
2,50,27,134,1
2,34,54,142,2
2,7,46,147,2
2,41,30,147,2
2,1,38,148,2
2,11,20,148,2
2,28,20,148,2
2,39,43,148,2
2,7,46,149,2
2,41,32,152,2
2,21,2,154,2
2,55,41,156,1
2,41,30,157,2
2,318,22,157,2
2,26,3,159,2
2,13,42,160,1
2,34,54,162,2
2,55,53,162,1
2,41,41,164,2
2,13,43,167,1
2,41,31,167,2
2,41,32,168,2
2,16,43,169,1
2,61,8,169,1
2,36,20,172,1
2,1,17,173,2
2,26,3,173,2
2,31,3,173,2
2,16,31,174,1
2,31,3,174,2
2,31,3,176,2
2,36,32,176,1
2,9,32,177,2
2,13,55,177,1
2,31,3,177,2
2,16,43,181,1
3,16,54,1,1
3,34,54,1,2
3,4,62,2,2
3,31,3,2,2
3,31,3,3,2
3,31,3,3,2
3,4,28,4,2
3,31,3,4,2
3,46,26,4,1
3,29,62,5,1
3,31,3,5,2
3,41,29,5,2
3,31,3,6,2
3,4,62,11,2
3,31,4,12,2
3,41,30,14,2
3,31,3,15,2
3,31,8,18,2
3,41,28,19,2
3,317,3,20,2
3,4,38,22,2
3,26,14,25,2
3,41,41,27,2
3,31,3,30,2
3,4,28,34,2
3,36,20,34,1
3,41,53,38,2
3,30,60,41,1
3,37,25,41,1
3,44,50,46,1
3,30,46,48,1
3,31,3,48,2
3,31,3,49,2
3,61,3,49,1
3,11,55,54,2
3,41,26,56,2
3,36,20,59,1
3,41,41,64,2
3,4,39,65,2
3,41,39,70,2
3,50,29,70,1
3,36,20,76,1
3,28,3,77,2
3,41,29,79,2
3,36,20,83,1
3,36,20,83,1
3,31,3,90,2
3,16,31,91,1
3,36,20,91,1
3,16,55,96,1
3,7,44,97,2
3,28,20,97,2
3,36,20,97,1
3,36,20,97,1
3,34,39,105,2
3,46,26,107,1
3,36,20,108,1
3,41,46,108,2
3,36,20,111,1
3,36,20,116,1
3,41,63,116,2
3,7,46,118,2
3,31,4,119,2
3,34,30,119,2
3,5,66,120,1
3,36,20,120,1
3,1,29,121,2
3,8,2,121,2
3,8,2,122,2
3,36,21,122,1
3,26,14,125,2
3,46,26,127,1
3,11,30,128,2
3,41,30,129,2
3,16,30,138,1
3,36,20,138,1
3,41,41,140,2
3,313,7,141,2
3,34,28,142,2
3,50,28,142,1
3,16,32,145,1
3,8,2,146,2
3,34,28,146,2
3,41,41,146,2
3,28,21,148,2
3,34,10,151,2
3,41,31,152,2
3,41,30,155,2
3,50,29,162,1
3,34,54,168,2
3,314,62,168,1
3,8,12,170,2
3,9,4,172,2
3,35,50,174,2
3,42,37,174,2
3,61,3,176,1
3,34,31,182,2
4,44,26,1,1
4,300,4,2,1
4,301,4,2,2
4,16,43,2,1
4,8,20,3,2
4,36,12,3,1
4,61,3,4,1
4,16,31,5,1
4,16,42,6,1
4,11,31,7,2
4,7,35,8,2
4,10,39,9,2
4,36,20,9,1
4,16,31,11,1
4,16,41,13,1
4,16,55,17,1
4,36,20,17,1
4,44,26,17,1
4,8,6,19,2
4,36,6,19,1
4,36,6,20,1
4,16,55,23,1
4,16,55,24,1
4,67,27,34,1
4,7,47,38,2
4,16,43,44,1
4,66,43,44,1
4,61,4,50,1
4,16,41,51,1
4,10,28,52,2
4,50,26,52,1
4,2,46,53,1
4,11,55,55,2
4,16,41,55,1
4,36,12,55,1
4,16,55,58,1
4,12,48,59,1
4,16,55,62,1
4,16,43,65,1
4,11,41,66,2
4,42,3,66,2
4,50,27,73,1
4,36,20,76,1
4,67,27,78,1
4,50,26,78,1
4,36,20,79,1
4,65,43,79,2
4,66,43,80,1
4,65,43,80,2
4,16,55,81,1
4,16,43,85,1
4,61,4,86,1
4,8,20,87,2
4,11,42,88,2
4,36,20,88,1
4,66,31,89,1
4,65,31,89,2
4,65,32,89,2
4,67,26,93,1
4,50,27,93,1
4,65,31,93,2
4,50,28,94,1
4,65,31,95,2
4,16,41,97,1
4,11,41,98,2
4,68,35,99,1
4,68,45,99,1
4,36,12,100,1
4,50,39,102,1
4,11,62,102,2
4,7,45,105,2
4,46,39,105,1
4,16,31,106,1
4,65,42,106,2
4,11,41,107,2
4,16,43,107,1
4,36,20,107,1
4,42,3,107,2
4,66,31,108,1
4,67,38,108,1
4,50,38,108,1
4,16,31,109,1
4,8,20,111,2
4,16,42,111,1
4,46,39,112,1
4,7,44,113,2
4,65,42,113,2
4,65,31,113,2
4,66,31,114,1
4,63,2,115,1
4,63,2,116,1
4,65,55,116,2
4,63,2,117,1
4,16,55,117,1
4,66,55,117,1
4,63,2,118,1
4,11,32,119,2
4,65,31,119,2
4,11,32,120,2
4,8,2,121,2
4,8,2,121,2
4,50,27,121,1
4,7,46,122,2
4,66,31,122,1
4,16,31,123,1
4,16,31,125,1
4,36,20,127,1
4,16,55,128,1
4,11,31,129,2
4,11,41,129,2
4,16,41,129,1
4,16,55,130,1
4,65,31,130,2
4,65,55,130,2
4,66,31,131,1
4,36,20,131,1
4,55,53,132,1
4,11,54,135,2
4,66,32,135,1
4,65,42,135,2
4,7,47,136,2
4,11,54,136,2
4,7,46,138,2
4,16,55,138,1
4,66,43,139,1
4,16,55,140,1
4,10,28,141,2
4,10,29,141,2
4,66,42,141,1
4,302,29,142,2
4,8,20,142,2
4,66,43,142,1
4,65,43,142,2
4,36,30,143,1
4,50,39,143,1
4,66,42,145,1
4,50,26,145,1
4,65,42,145,2
4,7,45,146,2
4,11,54,147,2
4,66,42,147,1
4,10,39,148,2
4,36,20,148,1
4,46,38,149,1
4,7,35,149,2
4,16,55,149,1
4,16,41,149,1
4,68,46,149,1
4,16,55,150,1
4,66,55,153,1
4,46,27,155,1
4,64,38,156,2
4,16,43,158,1
4,61,4,158,1
4,36,20,159,1
4,11,31,163,2
4,63,2,163,1
4,68,45,163,1
4,50,11,164,1
4,60,14,164,2
4,36,41,169,1
4,60,3,169,2
4,7,34,170,2
4,16,43,170,1
4,16,43,171,1
4,68,46,172,1
4,16,42,173,1
4,16,42,174,1
4,66,42,174,1
4,36,30,174,1
4,8,20,175,2
4,47,20,175,1
4,7,44,176,2
4,8,29,176,2
4,36,20,176,1
4,36,12,176,1
4,16,42,177,1
4,66,42,177,1
4,66,31,177,1
4,50,29,177,1
4,65,42,177,2
4,65,31,177,2
4,66,31,180,1
5,2,24,93,1
5,2,44,4,1
5,2,44,106,1
5,2,45,82,1
5,2,45,5,1
5,2,45,58,1
5,2,46,23,1
5,2,46,73,1
5,5,46,124,1
5,7,34,100,2
5,7,34,106,2
5,7,43,132,2
5,7,44,23,2
5,7,44,121,2
5,7,44,126,2
5,7,45,30,2
5,7,45,49,2
5,7,45,86,2
5,7,45,107,2
5,7,46,8,2
5,7,46,63,2
5,7,46,65,2
5,7,46,79,2
5,7,47,51,2
5,7,63,118,2
5,8,6,17,2
5,8,6,61,2
5,8,6,79,2
5,8,6,86,2
5,8,10,119,2
5,8,11,121,2
5,8,12,118,2
5,8,12,139,2
5,8,12,163,2
5,8,12,168,2
5,8,22,178,2
5,8,30,63,2
5,8,30,114,2
5,10,28,84,2
5,10,29,155,2
5,10,38,43,2
5,11,22,135,2
5,11,31,60,2
5,11,41,118,2
5,11,41,165,2
5,11,42,85,2
5,11,42,65,2
5,11,43,108,2
5,11,43,126,2
5,11,43,149,2
5,11,43,24,2
5,11,44,25,2
5,11,54,122,2
5,11,55,36,2
5,11,62,51,2
5,11,63,100,2
5,11,67,1,2
5,12,60,127,1
5,12,61,65,1
5,16,31,82,1
5,16,32,46,1
5,16,32,180,1
5,16,41,179,1
5,16,43,16,1
5,16,43,67,1
5,16,43,118,1
5,16,43,123,1
5,16,43,149,1
5,16,43,163,1
5,16,44,139,1
5,16,54,124,1
5,16,54,130,1
5,16,55,4,1
5,16,55,39,1
5,16,55,51,1
5,16,55,61,1
5,16,55,63,1
5,16,55,68,1
5,16,55,147,1
5,29,4,77,1
5,29,14,125,1
5,29,14,148,1
5,35,60,19,2
5,36,12,88,1
5,36,12,118,1
5,36,20,1,1
5,36,20,5,1
5,36,20,6,1
5,36,20,22,1
5,36,20,65,1
5,36,20,71,1
5,36,20,74,1
5,36,20,78,1
5,36,20,86,1
5,36,20,87,1
5,36,20,98,1
5,36,20,120,1
5,36,20,143,1
5,36,20,163,1
5,36,20,170,1
5,36,20,43,1
5,36,21,57,1
5,36,21,83,1
5,36,21,105,1
5,36,21,113,1
5,36,21,114,1
5,36,22,95,1
5,36,29,108,1
5,36,30,52,1
5,36,30,84,1
5,36,30,96,1
5,36,30,99,1
5,36,30,108,1
5,36,30,128,1
5,36,30,149,1
5,36,30,153,1
5,36,30,157,1
5,36,30,160,1
5,36,30,166,1
5,36,30,168,1
5,36,30,170,1
5,36,31,156,1
5,36,31,163,1
5,36,43,107,1
5,46,26,114,1
5,46,29,71,1
5,46,52,45,1
5,46,53,154,1
5,47,53,103,1
5,47,53,140,1
5,50,11,50,1
5,50,16,102,1
5,50,27,62,1
5,50,28,105,1
5,50,28,134,1
5,50,29,157,1
5,50,29,180,1
5,50,30,61,1
5,50,39,103,1
5,59,24,78,2
5,60,4,161,2
5,60,45,4,2
5,63,2,96,1
5,63,12,163,1
5,63,17,131,1
5,63,32,108,1
5,64,60,58,2
5,65,30,10,2
5,65,30,21,2
5,65,30,132,2
5,65,30,142,2
5,65,30,157,2
5,65,41,5,2
5,65,41,20,2
5,65,41,22,2
5,65,41,24,2
5,65,41,34,2
5,65,41,79,2
5,65,41,81,2
5,65,41,90,2
5,65,41,93,2
5,65,41,99,2
5,65,41,101,2
5,65,41,103,2
5,65,41,118,2
5,65,41,119,2
5,65,41,127,2
5,65,41,129,2
5,65,41,147,2
5,65,41,163,2
5,65,42,149,2
5,65,42,150,2
5,65,43,16,2
5,65,51,180,2
5,65,55,2,2
5,65,55,183,2
5,66,31,166,1
5,66,41,23,1
5,66,41,42,1
5,66,41,164,1
5,66,42,69,1
5,66,42,180,1
5,66,43,36,1
5,66,43,174,1
5,66,43,179,1
5,66,44,166,1
5,66,53,41,1
5,66,54,4,1
5,66,54,22,1
5,66,54,121,1
5,66,55,1,1
5,66,55,56,1
5,66,55,68,1
5,66,55,74,1
5,66,55,99,1
5,66,62,77,1
5,66,62,182,1
5,66,67,155,1
5,67,26,118,1
5,67,27,30,1
5,67,27,56,1
5,67,27,64,1
5,67,27,117,1
5,67,27,120,1
5,67,27,126,1
5,67,27,181,1
5,67,28,77,1
5,67,28,82,1
5,67,28,125,1
5,67,29,55,1
5,67,30,87,1
5,67,38,4,1
5,67,38,5,1
5,67,38,157,1
5,67,39,3,1
5,67,39,8,1
5,67,39,11,1
5,67,39,72,1
5,67,39,93,1
5,67,39,117,1
5,67,39,123,1
5,67,41,90,1
5,67,53,23,1
5,68,43,162,1
5,68,44,117,1
5,68,45,17,1
5,68,45,76,1
5,68,46,57,1
5,68,46,133,1
5,202,21,16,1
5,415,32,12,1
5,416,45,20,1
5,417,45,104,1
5,418,39,147,1
5,419,38,19,2
5,420,8,141,2
5,421,2,176,2
